low,high,street,side
400,699,W KIRBY ST,B
19100,19899,BAUMAN ST,B
17500,18999,HULL ST,B
18845,18845,RIOPELLE ST,O
8210,8212,BRYDEN ST,E
11600,11799,INDIANA ST,B
9056,9056,MONICA ST,E
8315,8315,ROSELAWN ST,O
14442,14442,BRINGARD DR,E
11866,11866,ENGLESIDE ST,E
19221,19221,HOOVER ST,O
11900,12799,RACINE ST,B
19100,19499,STRASBURG ST,B
1538,1898,BURLINGAME ST,E
3245,3245,COLUMBUS ST,O
2308,2308,GLYNN CT,E
2267,2267,W PHILADELPHIA ST,O
3333,3333,TUXEDO ST,O
1930,1930,CHENE CT,E
2310,2310,CHENE ST,E
1919,1919,HYDE PARK RD,O
2246,2246,E LAFAYETTE ST,E
2036,2036,PRINCE HALL DR,E
3100,3798,SUPERIOR ST,E
6101,6509,AVERY ST,O
1900,2199,PUTNAM ST,B
4200,4299,BRANDON ST,B
5600,5999,ELDRED ST,B
843,1499,MILITARY ST,O
6001,6299,REGULAR ST,O
7100,7199,BULWER ST,B
4000,5099,HAMMOND ST,B
5630,5630,SAINT LAWRENCE ST,E
2600,2999,HENDRIE ST,B
17101,17307,BLOOM ST,O
13446,13446,DWYER ST,E
13400,17099,JOSEPH CAMPAU ST,B
13243,13243,SAINT LOUIS ST,O
12300,12399,BANNEKER CT,B
9001,9899,HAYES ST,O
8262,8262,E OUTER DR,E
13077,13077,ROSEMARY,O
12520,12520,WILSHIRE DR,E
1209,1209,FISCHER ST,O
2501,2899,MONTCLAIR ST,O
408,408,ALTER RD,E
700,999,DICKERSON ST,B
2144,2144,GRAY ST,E
275,275,PIPER BLVD,O
1543,1543,8TH ST,O
700,2024,TRUMBULL ST,E
1000,1399,S BASSETT ST,B
1,155,ELM ST,O
17700,18398,BEAVERLAND ST,E
17573,17573,EVERGREEN RD,O
17100,17799,GREENVIEW AVE,B
18490,18490,HUNTINGTON RD,E
21101,21799,ORCHARD ST,O
18267,18267,ROSEMONT AVE,O
19183,19183,TRINITY ST,O
19900,20598,WOODBINE ST,E
660,660,W DRAYTON ST,E
21397,21397,MITCHELLDALE AVE,O
3502,3502,W 7 MILE RD,E
3700,6298,CHIPPEWA ST,E
3400,4198,MARGARETA ST,E
3389,3965,W OUTER DR,O
17100,17498,SANTA BARBARA DR,E
20153,20153,STOEPEL ST,O
15300,16099,BRAMELL ST,B
21660,21660,JASON ST,B
18100,19298,SCHOOLCRAFT,E
9919,9919,BISHOP ST,O
5961,5961,CADIEUX RD,O
15065,15065,EVANSTON ST,O
11800,12132,LAING ST,E
10863,10863,MARNE ST,O
20440,20440,MOROSS RD,E
5701,5999,PHILIP ST,O
11401,11727,WAYBURN ST,O
20204,20705,ROSCOMMON ST,B
14500,15298,CHEYENNE ST,E
9951,9951,HARTWELL ST,O
15437,15437,MEYERS RD,O
15500,15998,PURITAN ST,E
15445,15445,SAINT MARYS ST,O
14800,15198,WHITCOMB ST,E
15001,15499,W CHICAGO ST,O
11403,11403,FIELDING ST,O
