low,high,street,side
1747,1747,6TH ST NW,O
700,1198,COVELL AVE NW,E
1159,1159,LEONARD ST NW,O
1103,1103,LINCOLN AVE NW,O
800,1199,ROSALIE AVE NW,B
1200,1599,BANBURY AVE NE,B
200,599,ELEANOR ST NE,B
2244,2342,MONROE AVE NE,E
528,528,SPENCER ST NE,E
2556,2556,BIRCHCREST DR SE,E
715,715,FULLER AVE SE,O
800,1199,LOGAN ST SE,B
1,99,PIERCE PL SE,B
1724,1724,SHERWOOD DR SE,E
1801,1999,WOODWARD AVE SE,O
1200,1499,CASS AVE SE,B
1907,1907,JEFFERSON AVE SE,O
1800,1999,WILLARD AVE SE,B
4200,4299,S CASTLE RIDGE DR SE,B
2273,2273,EDINGTON DR SE,O
1216,1530,MAPLEVIEW ST SE,E
2119,2201,SUMMER BROOK DR SE,B
800,1199,ARIEBILL ST SW,B
3023,3023,CHARLESGATE AVE SW,O
2447,2447,LONGSTREET AVE SW,O
2654,2654,MCKEE AVE SW,E
2438,2438,WOODWARD AVE SW,E
3699,3835,CREEK WAY DR SE,B
3227,3271,PICCADILLY CIR SE,B
2401,2799,52ND ST SW,O
4400,4599,EDGEMONT DR SW,B
2300,2399,SHARON AVE SW,B
3401,3600,BIRD AVE NE,B
3703,3703,GRAND RIVER DR NE,O
1674,1674,LEFFINGWELL AVE NE,E
1500,1599,RUTH LN NE,B
3733,3733,WILLOW DR NE,O
4000,4099,BRAMPTON CT NW,B
473,473,IVY GROVE NORTH NW,O
1176,1176,LEONARD ST NW,E
1823,1823,MAPLEROW AVE NW,O
2700,2899,SPRINGVIEW RD NW,B
2323,2323,BRISTOL AVE NW,O
1401,1599,WINSLOW ST NW,O
6101,6147,CHAMONIX CT SE,O
1431,1999,HILLSBORO AVE SE,O
801,1185,PATTERSON AVE SE,O
2500,2699,TALL TIMBER CT SE,B
2750,2776,WOODLAWN CT SE,E
4635,4635,DIVISION AVE,O
5065,5189,MICK AVE SE,B
1240,1240,E 26 RD,E
5890,5890,E 50 RD,E
301,499,DONNELLY ST,O
2361,2361,S LAKE MITCHELL DR,O
112,122,OHIO ST,E
116,416,WEBBER ST,E
18500,18899,BURNHAM DR,B
18433,18433,BUTWELL RD,O
13151,13151,POTTER RD,O
215,3520,W FOREST HOME AVE,B
7747,7747,TYLER RD,O
8137,8137,LOVE RD,O
1700,2000,LUGG RD,B
5650,7000,CHRISTY RD,B
371,371,KUHN DR,O
8800,9398,S KASSON ST,E
9000,9800,DAWSON RD,B
4782,4782,US HIGHWAY 31 N,E
8271,8271,E US HIGHWAY 10,O
400,1075,WALL ST,B
10100,10299,W LAMBKIN LN,B
12441,12441,5 MILE RD,O
9900,9999,KUTENAL DR,B
6000,6998,S FORWARD RD,E
121,121,E FRONT ST,B
5474,5474,RIVERVIEW RD SE,E
745,745,BRIDGE ST,O
1508,1508,S SCENIC HWY,E
4001,5999,HAMLIN RD,O
112,112,E GASTON AVE,E
10800,10999,BINGO LN,B
1900,2099,SOUTH ST,B
5700,5999,S JASPER DR,B
800,999,CEDAR TRL,B
5814,5814,KARLIN RD,E
20000,20999,RHODES RD,B
9200,11529,N DEXTER RD,B
8127,9043,9 MILE RD,O
5700,7000,BASS LAKE RD NE,B
10002,16000,COUNTY ROAD 612 NE,E
2507,2507,M 72 E,O
4000,4999,SANDS PARK DR NE,B
3201,4999,MICHIGAN TRL,O
3000,3450,EAGLES NEST DR,B
1300,1499,S WINDS CT,B
4817,6177,N REYNOLDS RD,O
2500,2500,E BEELER RD,E
4475,4475,E HOUGHTON LAKE RD,O
9235,9235,W OAK DR,O
5001,5499,E WALKER RD,O
7000,7998,E OTTO RD,E
11700,11999,17 MILE RD,B
13200,13400,SOUTH DR,B
610,610,N STATE ST,E
467,467,3RD AVE NE,O
100,848,EDDY SCHOOL RD,E
125,125,E MICHIGAN AVE,B
5300,7999,STARVATION LAKE RD NE,B
333,395,3RD ST,O
702,702,COUNTY LINE RD,E
500,1999,LAKEVIEW DR,B
1425,1425,MERKEY RD W,O
1662,1662,RAMONA DR,E
1,99,SOPHIA ST,O
6771,7243,N 27 RD,O
8000,12000,E LONG LAKE RD N,B
5779,5779,W CRYSTAL VIEW RD,O
23738,23738,30TH AVE,E
100,800,E MAIN ST,B
1,5999,N 13 RD,O
8700,11700,N HODENPYLE DAM RD,E
10000,11699,E MELKILD RD,B
5000,5500,SAMERDAR DR,B
7772,7772,VALLEY RD NW,E
8500,11999,E 80TH ST,B
9001,9999,MAPLE ST,O
2,2588,9 MILE RD,E
7000,7500,SUNNY LN SW,B
10015,10015,E JOHN MICHAEL DR,O
1610,1610,N SETTERBO RD,E
16000,18998,LEMON RD,E
6200,6800,E ALLGAIER RD,B
10660,10660,E CHERRY BEND RD,E
100,199,HILLCREST CT,B
4611,4690,MORNING GLORY LN,B
8300,11099,S SLOPE DR,B
12116,12116,S WEST BAY SHORE DR,E
4025,4675,BRIDLEWOOD DR,B
849,849,N EAST SILVER LAKE RD,O
5868,5868,LILLIAN LN,E
1897,1961,ORIOLE DR,B
3400,3999,VANCE RD,B
2500,2799,WESTWARD DR,B
1216,1216,BARLOW ST,E
1600,1798,FOREST RIDGE DR,B
1005,1005,HANNAH AVE,O
1400,1599,S ORCHARD DR,B
8800,8999,SUNSET CIR,B
17111,17111,19 MILE RD,O
19557,19557,210TH AVE,O
6902,6902,LAKOLA RD,E
18701,19829,HOXEYVILLE RD,O
7000,7249,CRISP RD,B
7700,7999,PINEDALE DR,B
2953,2953,ARBUTUS HILL RD,O
340,340,HIGH LAKE RD,E
2294,2294,POTTER RD E,E
310,310,E ETHERINGTON ST,E
3002,5000,E BRUTUS RD,E
8955,8955,MOORE RD,O
5030,5030,VALLEY RD,E
100,399,E BINGHAM ST,B
3083,3083,FRENCH RD,O
6000,6999,HAYTER LN,B
14000,14250,MAR RAL RD,B
18000,18300,SHORE ST,B
1020,1020,US 23 N,E
10100,11499,BELTZ RD,B
11150,11150,HALL RD,E
12200,13599,NICKERSON VALLEY RD,B
700,1099,1ST ST,B
1,2699,CLUTE RD,B
5022,5022,KORTHASE RD,E
4400,4799,MAR JEAN DR,B
5,5,WILSON RD S,O
4945,4945,US HIGHWAY 131 N,O
10741,11767,BRUTUS RD,O
115,115,SW GRIFFIN DR,O
100,399,CHERRY ST,B
8000,8586,MERCER RD,E
5840,5840,UNDINE RD,E
1200,1799,CENTER ST,B
900,1299,HANCOCK ST,B
12792,12792,MYSTIC LN,E
14000,14800,STRAITS VIEW DR,B
10531,10531,US 23,O
1118,1118,W 11 MILE RD,E
30000,30199,E BAY ST,B
3001,5999,CARSON RD,O
5547,5547,M 32,O
3750,5210,PEARSALL RD,E
10400,10999,BAY RIDGE ESTATES DR,B
3988,3988,CAMP 10 RD,E
8973,8973,M 32 W,O
8126,8126,CALLAHAN TRL,E
400,799,SOFTWOOD TRL,B
700,999,BRIAR LN,B
78,78,DOVER RD,E
201,233,HORSESHOE CT,O
4681,4681,W M 32,O
200,939,MOSSBACK CREEK TRL,B
310,310,N OTSEGO AVE,E
600,699,ROSEMARY ST,B
3300,3300,TURNSIDE WAY,E
10793,13567,E TOWN LINE RD,O
5539,6543,E COUNTY ROAD 612,O
720,720,N I 75 BUSINESS LOOP,E
8497,8497,LOVELLS RD,O
1500,1799,MICHELSON DR,B
3039,3039,SANDY TRL,O
5200,5399,ALPHOF RD,B
5001,5399,HUGHSTON RD,O
1,2999,W STUTSMANVILLE RD,B
7100,7498,BRIAR HILL RD,E
2391,2391,E M 134,O
23777,24799,CONNON RD,B
24250,24298,LONG RAPIDS RD,E
7000,8999,BEAVER LAKE RD,B
5200,5499,CASEY DR,B
6000,6250,MARTHA ST,B
6000,6200,WILSON RD,B
14557,14799,QUIETACRES,O
8000,8999,LOON LN,B
8250,8650,COSENS RD,B
4600,4799,BIRCH GROVE CT,B
5500,6000,N HILLSIDE DR,B
3100,3499,SKYLINE RD,B
0,0,MISSION PT,E
15250,15399,OSMUNDA LN,B
1957,1977,LOUIS ST,B
6750,7000,BANKS AVE,B
6267,6267,M 33,O
4000,4999,KITTER RD,B
2000,3000,CAMP RD,B
1000,1450,BOYER HILL RD,E
1700,5693,GREENWOOD RD,B
1600,1731,KILLARNEY SHORES DR,B
250,500,ORCHARD RIDGE DR,B
11587,11587,PICKEREL LAKE RD,O
1200,1700,WILLIAMS RD,B
211,211,N M 129,O
5000,5999,BEAVER TRL,B
14000,14500,SUNKEN LAKE RD,B
441,500,W BREGE DR,B
7500,7899,N BAY RD,B
301,399,CHARLES MULCRONE BLVD,O
180,180,SIMMONS RD,E
2175,2175,US HIGHWAY 2 W,O
100,299,W 20TH AVE,B
2650,4404,I 75 BUSINESS SPUR,E
1611,1611,RIVERSIDE DR,O
8500,8999,S WILLOW LN,B
1368,1368,N STRAITS HWY,E
9499,9499,MUKUNDA TRL,O
16400,16850,FIR DR,B
4500,4799,BIRCH RIDGE RD,B
3160,3160,MOON LAKE DR,E
601,601,WALKER ST,O
100,298,RIPLEY ST,E
16,16,M 28,E
200,1299,TICHELAAR RD,B
193,305,COUNTY ROAD AI,B
102,104,SPRUCE LN,E
10800,11200,MILLER RD,B
9101,9189,KOZY ST,O
11000,13300,STATE ROAD W2,B
15592,15592,SANDTOWN RD,E
720,720,S 14TH ST,E
1101,1101,S 16TH ST,O
307,307,N 19TH ST,O
1801,2399,23RD AVE S,O
920,920,LAKE SHORE DR,E
1842,1842,COUNTY ROAD SN,E
1490,1490,NORTHWOODS LN,E
1213,1213,MORRISON ST,O
7513,7513,COUNTY 527 L RD,O
1,12,WATERFORD AVE,B
965,965,COUNTY ROAD 432 W,B
100,299,FLODIN RD,B
1,199,E STEPHENSON AVE,B
2,10,CARDINAL ST,E
1,999,COUNTY ROAD PRC,B
201,2199,OLMSTED LN,O
2185,2185,COUNTY ROAD 135,O
22500,22653,WILLIAMS ST,B
9200,9499,FRAGALE RD,B
8900,8999,PINE ST,B
7400,7499,WOOD RD,B
65,309,COUNTY ROAD 480,O
5858,5858,COUNTY ROAD KJ,E
700,799,W LAKE ENCHANTMENT TRL,B
101,249,OAKRIDGE DR,B
800,899,WHITE BIRCH CT,B
2809,2809,13TH ST,O
1313,1313,15TH AVE,O
3201,3201,18TH ST,O
2002,2002,25TH AVE,E
1601,1699,HAYWARD BAY DR,O
1500,1776,S3 DR,E
100,599,BIRCH ST,B
201,11099,GRAND ISLAND RD,B
9870,9870,NEGILSKI RD,E
220,220,E STATE HIGHWAY M28,E
109,109,W VARNUM ST,O
100,170,E COUNTY RD,E
1,399,MIDWAY DR,B
101,199,WOODLAND DR,O
13013,13013,COUNTY ROAD 432,O
6078,6078,STATE HIGHWAY M123,E
500,698,LAKE RD,E
14501,14501,EKBERG ROAD L.5,O
7700,8398,30TH RD,E
9700,10799,U.25 RD,B
6300,6530,NORTH BANK LN,B
7049,7049,LEEMAN RD,O
184,266,E JOHNSON RD,E
8300,9199,CAMP O LANE B 2,B
7700,8099,US HIGHWAY 41,B
1401,1401,BUNT RD,O
5700,5899,NUMBER 9.5 LN,B
9660,9660,PROSPECT ST,E
380,380,OLD US 141 N,E
15000,17600,OBENHOFF RD,B
13200,14799,STURGEON RD,B
11100,11299,HIBRITTEN WAY,B
12197,12197,HAANAPAA RD,O
5081,5081,US HIGHWAY 45 S,O
21000,23398,FISHERMAN RD,E
300,399,STABLE ST,B
21200,22599,DENTON RD,B
14185,14265,BASALT ST,B
1208,1208,CRYSTAL AVE,E
100,199,PINE CLIFF RD,B
1601,1601,US HIGHWAY 2,O
24934,24934,POWELL RD,E
301,399,DAKOTA ST,O
901,1499,POPLAR ST,O
50545,50545,STATE HIGHWAY M26,O
51940,51940,CANAL RD,E
1800,1999,MIDDLE POINTE LN,B
1,25,WOODLAND ST,O
521,521,BATES AMASA RD,O
807,807,W GENESEE ST,O
512,512,MID SUMMER DR,E
1209,1209,STAMBAUGH AVE,O
1,999,E VIRGIL ST,B
10300,10300,COUNTRY CLUB RD,E
11107,11107,LOOKOUT LN,O
5501,6299,US HIGHWAY 2,O
29001,33451,RICE LAKE RD,O
18300,18399,MATTS RD,B
6000,11280,STATE HIGHWAY M64,B
3124,3425,HEIKKINEN RD,B
200,699,THIRD ST,B
104,104,LAKESHORE DR,E
34376,34376,TOWNLINE RD,E
11751,11751,STATE HIGHWAY M38,O
23500,23699,WARD RD,B
150,160,FOREST ROAD 3611,B
100,199,HOOK ST,B
27600,27600,COUNTY RD 3940,E
12600,12699,SECTION 16 RD,B
7000,8724,W 5 POINT HWY,E
23882,24999,GROESBECK,B
4000,4198,W VERNOR,E
14001,16001,DIXIE,O
10826,10826,E MICHIGAN,E
4132,4132,E KINSEL,E
7001,7955,WINDSOR,O
11872,11872,W EATON,E
6961,6961,WILLOW,O
2001,2637,W SAGINAW,O
5501,5999,E VERMONTVILLE,O
4804,4804,W ST JOE,E
22527,22527,MARCELLUS,O
6065,7001,US 27 S,O
41000,45446,W RED ARROW,E
31684,31684,US 12,E
11760,11760,US 12,E
100,198,W LOUIS GLICK,E
3555,3555,N RAISIN CENTER,O
5000,6999,RIGA,B
10901,10901,BRIGGS,O
2300,2599,HOAGLAND,B
1705,1705,ROUND LAKE,O
6000,7730,NEW US 223,B
9968,9968,MATTHEWS,E
6200,6200,N M 37,E
9000,10700,ALDEN,B
11950,12000,US 131,B
12653,12653,CABERFAE,O
16152,17150,CABERFAE,E
9711,9711,US 23 N,O
9005,11999,ALBA,O
1301,1499,M 68,O
15328,15328,M 68,E
13001,17850,US 23 S,B
11942,11942,STATE M35,B
221,497,E STATE M35,B
1224,1224,M35,E
563,563,STATE M35,O
9906,10314,US 2,E
2600,3099,STATE M67,B
16387,16387,US 45,O
10045,10045,STATE M38,O
4122,4122,US 2,E
12282,12282,STATE M26,E
4669,5505,SOUTH OLD US 23 HWY,O
22000,25638,WEST US HIGHWAY 12,E
1814,1814,NORTH US HIGHWAY 31,E
1287,1287,NORTH US HIGHWAY 31,O
